,בעלי זכות בחירה,מצביעים,העבודה,אור,מפד”ל,יהדות התורה,בל”ד,התנועה הירוקה מימד,חד”ש,גמלאים,ישראל חזקה,איחוד לאומי,הישראלים,לב,ניצולי השואה ובוגרי עלה ירוק,קדימה,ישראל ביתנו,ליכוד,מרצ,ישראל המתחדשת,אחריות,לזוז,לוחמי חברה מאוחדים,רע”מ,כח להשפיע,מהפך בחינוך,ברית עולם,זכויות הגבר במשפחה,צומת,צבר,דעם,עלה ירוק,כוח הכסף,לידר,הירוקים,ש”ס
בית קשת,286,185,52,0,0,0,0,29,0,2,0,1,0,0,0,66,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
בית רבן,233,166,0,0,33,0,0,0,0,0,0,88,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
בית רימון,178,148,3,0,57,0,0,13,0,0,0,25,0,0,0,12,8,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
בית שאן,12724,7157,376,3,265,113,3,12,4,22,3,274,0,0,2,743,549,2900,23,6,2,4,2,13,67,0,4,1,6,6,2,20,3,3,6,1614
בית שמש,38591,23790,625,2,1442,4829,10,89,19,24,10,1784,8,4,7,1449,2800,5204,95,16,3,4,6,7,12,0,4,3,1,16,10,34,6,5,34,4909
בית שערים,501,379,92,0,1,0,0,7,0,0,1,3,0,0,1,150,27,51,29,0,1,0,0,0,0,0,0,3,0,1,0,1,0,2,4,2
בית שקמה,466,269,6,0,3,9,0,0,1,3,1,9,0,0,0,26,41,129,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ביתן אהרן,139,90,25,0,0,0,0,2,1,1,0,0,0,0,0,42,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
ביתר עילית,13019,9860,1,1,17,4778,0,3,1,2,0,787,0,0,0,6,27,132,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4020
בלפוריה,243,177,40,0,3,1,0,2,0,2,3,7,0,0,0,67,9,25,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2
בן זכאי,458,342,4,0,28,3,0,1,0,0,0,11,0,0,0,22,24,113,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,124
בן עמי,473,370,109,1,4,0,1,5,1,2,1,6,0,0,0,104,22,82,22,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,3
בן שמן (כפר נוער),246,171,43,0,1,0,0,2,1,0,0,0,0,0,0,65,7,28,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8
בן שמן (מושב),460,339,67,0,1,0,0,13,2,0,0,6,0,0,0,134,23,65,20,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0
בני ברק,88252,63936,654,14,1530,34802,6,61,25,113,19,1994,4,3,15,1598,1362,3506,138,18,4,3,3,17,21,0,2,4,2,16,6,37,3,6,34,17413
בני דרום,296,253,1,0,132,1,0,6,0,0,0,30,0,0,0,12,6,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
בני דרור,983,724,165,0,8,2,0,6,1,4,1,4,0,0,0,323,21,115,50,0,0,0,0,0,1,0,0,1,0,0,1,4,0,1,2,5
בני יהודה,764,472,45,0,17,0,0,5,1,4,2,7,0,0,4,186,68,91,16,0,2,0,0,0,2,0,0,0,0,3,0,7,0,0,5,5
בני עטרות,475,399,104,0,6,0,0,10,2,3,4,6,0,0,1,159,9,58,30,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2
"בני עי""ש",5589,3729,177,1,83,19,10,6,7,4,6,68,1,4,4,445,1571,803,14,9,1,1,3,1,0,0,0,0,1,5,4,14,2,2,10,356
בני ציון,663,526,100,0,2,3,0,7,4,1,1,4,0,0,0,246,17,97,28,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2,5
בני ראם,684,526,5,0,103,16,0,3,0,0,0,65,0,0,0,17,14,141,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,151
בניה,563,456,105,0,6,0,0,2,1,8,2,7,0,0,1,191,16,82,20,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,5
בנימינה-גבעת עדה,7877,5699,970,1,145,14,1,145,23,20,13,83,1,2,1,2201,370,1026,325,1,0,0,0,3,3,0,0,0,2,10,1,36,0,0,19,227
"בסמ""ה",4408,2280,17,1,0,1,424,1,881,3,9,0,2,1,0,25,2,5,15,0,0,1,0,818,0,0,2,1,7,1,2,2,1,0,0,2
בסמת טבעון,3908,1284,63,0,21,2,183,0,79,22,2,4,4,2,0,45,5,27,35,4,0,1,0,685,17,0,5,2,0,3,6,1,2,5,3,12
בצרה,640,491,115,0,6,0,0,4,5,1,3,2,0,0,2,227,19,62,22,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,5
בצת,278,200,43,0,4,0,0,1,2,2,2,11,0,0,0,69,10,43,6,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
בקוע,355,266,16,0,7,1,0,0,0,0,1,18,0,0,0,59,14,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
בקעות,143,93,10,0,0,1,0,0,0,0,0,2,0,0,0,37,6,31,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
בר גיורא,325,235,16,0,1,0,0,15,2,5,0,11,0,0,0,31,16,90,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,35
בר יוחאי,292,208,0,0,46,8,0,0,0,0,0,59,0,0,0,2,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
ברור חיל,497,296,126,0,0,0,0,3,3,0,1,2,0,0,1,101,8,20,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3
ברוש,184,123,14,0,4,3,0,0,0,0,0,1,0,0,0,17,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
ברכה,720,563,2,0,11,0,0,0,0,0,0,373,0,1,0,1,8,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ברכיה,612,482,3,0,22,6,0,0,0,3,1,36,0,0,0,25,7,164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,209
ברעם,464,288,57,0,0,0,1,3,1,0,0,1,0,0,0,76,6,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ברק,250,165,35,0,2,0,0,3,0,0,0,2,0,0,0,66,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ברקאי,418,263,48,0,0,0,1,5,2,0,0,0,0,0,0,52,8,5,137,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ברקן,941,694,18,0,5,1,1,2,0,1,1,37,0,0,1,116,127,362,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,8
ברקת,725,591,0,0,25,3,0,2,0,1,0,235,0,0,0,3,19,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
בת הדר,297,194,24,0,6,0,0,0,1,7,1,5,0,0,0,60,23,52,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
בת חן,557,432,114,0,3,3,0,2,2,4,3,2,0,0,1,170,19,69,20,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,2,6
בת חפר,3108,2338,349,5,44,4,0,37,3,7,3,42,0,0,3,1048,161,434,111,0,0,0,0,0,6,0,0,0,0,7,0,7,0,0,10,43
בת ים,124257,62926,4552,19,1067,442,28,133,115,626,126,1639,16,28,51,15151,13653,16023,646,88,14,13,9,23,60,0,18,17,15,103,65,256,26,42,221,6570
בת עין,438,298,0,0,5,8,0,2,0,0,0,169,1,0,1,1,14,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,22
בת שלמה,330,239,31,0,5,1,0,11,6,3,0,5,0,0,0,88,18,48,11,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,5
ג'דיידה-מכר,10566,5118,19,1,3,3,1991,3,1510,3,1,9,1,1,2,23,9,7,35,3,0,4,0,1387,2,0,2,0,3,2,5,3,2,2,2,9
ג'ולס,3574,1876,384,0,0,1,128,0,12,13,2,0,1,0,0,599,242,356,14,0,0,0,0,1,1,0,0,0,30,3,2,1,0,0,1,71
ג'לג'וליה,4442,2746,263,0,0,0,414,0,982,0,1,3,0,2,0,9,7,13,34,2,1,2,0,971,0,0,1,1,2,0,3,0,1,0,1,3
ג'נאביב (שבט),257,64,4,0,0,5,6,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,2,26,0,0,1,0,0,0,0,0,0,0,1,9
ג'סר א-זרקא,6453,1437,56,1,1,1,97,8,160,2,1,2,3,0,0,13,3,10,118,0,0,5,2,907,2,0,1,1,2,2,6,2,1,2,5,4
ג'ש (גוש חלב),2043,729,47,0,2,0,147,0,187,0,0,0,1,0,0,121,22,11,24,1,1,0,0,132,0,0,0,0,1,0,0,2,2,1,1,2
גאולי תימן,265,204,31,0,12,0,2,0,1,1,0,5,0,0,0,42,11,65,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,27
גאולים,587,416,90,0,16,2,0,1,0,5,1,6,0,0,0,129,21,68,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,61
גאליה,763,567,101,1,2,1,0,1,3,1,6,2,0,0,0,274,26,111,25,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,3
גבולות,255,146,20,0,1,0,0,0,4,0,0,0,0,0,0,39,9,7,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
גבים,279,212,81,0,0,0,0,2,2,1,0,2,0,0,3,63,6,12,32,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2
גבע,477,371,176,0,1,0,0,4,5,1,0,1,0,0,0,125,11,13,28,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0
גבע בנימין,2047,1469,41,0,33,17,0,2,0,3,1,188,0,0,0,112,160,598,9,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,272
גבע כרמל,620,468,148,0,3,0,0,10,0,0,5,1,0,0,0,173,24,70,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15
גבעולים,217,145,1,0,1,2,0,0,0,4,0,7,0,0,0,11,11,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
גבעון החדשה,864,615,34,0,9,2,0,3,0,1,1,35,0,4,0,143,97,236,9,2,5,0,0,1,1,0,2,0,0,3,0,4,2,0,3,9
גבעות בר,108,82,16,0,1,0,0,0,1,0,0,3,0,0,0,29,9,17,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
גבעת אבני,1413,988,137,0,24,3,0,4,1,7,2,29,0,0,2,345,98,213,18,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,2,96
גבעת אלה,1358,952,209,2,5,0,0,22,5,2,3,8,1,0,1,419,34,117,106,0,0,0,0,0,1,0,0,0,0,2,0,7,0,0,2,2
גבעת ברנר,1312,894,422,0,3,1,0,16,6,3,2,0,1,0,0,213,21,49,123,0,0,0,0,0,0,0,1,0,4,0,1,9,1,0,4,5
גבעת השלושה,408,295,146,0,1,2,0,3,0,3,2,1,0,0,1,86,6,14,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1
גבעת זאב,7663,5314,231,1,144,159,1,50,1,29,6,298,1,0,8,895,463,2294,50,1,0,1,0,0,3,0,1,0,4,8,0,21,0,2,34,556
"גבעת ח""ן",308,243,78,0,1,0,0,6,0,1,0,3,0,0,0,105,11,18,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
גבעת חיים (איחוד),790,583,257,0,2,0,0,18,3,0,1,1,0,0,0,196,7,3,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
גבעת חיים (מאוחד),853,624,283,0,3,1,0,11,3,1,1,4,0,0,1,203,17,21,62,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,4
גבעת יואב,398,268,37,0,10,0,0,5,0,2,4,15,0,0,2,91,35,46,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
גבעת יערים,703,518,54,0,25,0,0,25,3,1,0,33,0,1,1,99,28,180,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,27
גבעת ישעיהו,323,234,36,0,4,0,0,16,3,2,0,6,0,0,1,77,7,43,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,14
"גבעת כ""ח",406,261,14,0,12,3,0,2,0,1,0,3,0,0,1,44,17,120,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35
"גבעת ניל""י",323,237,25,0,0,3,0,4,2,1,0,3,0,0,0,79,24,86,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
גבעת עוז,372,265,51,0,3,0,0,0,0,0,0,0,0,0,0,97,11,17,77,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,4
גבעת שמואל,14261,10607,941,2,1841,91,1,109,14,38,24,823,0,2,3,2302,537,2902,259,2,4,5,1,2,6,0,0,1,3,6,2,38,3,1,36,526
גבעת שפירא,159,116,31,0,2,0,0,2,1,0,0,0,0,0,0,46,2,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
גבעתי,556,357,34,0,4,3,0,1,1,4,0,4,0,0,0,109,31,124,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,34
גבעתיים,43584,29566,5777,9,718,131,2,305,173,370,119,431,8,2,23,11105,1406,5863,1802,1,5,3,1,5,27,0,3,5,2,36,21,119,6,7,165,634
גברעם,261,186,61,0,0,0,0,2,0,0,0,0,0,0,1,75,13,12,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4
גבת,610,465,226,0,0,1,0,4,0,0,2,4,0,0,0,162,9,14,33,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0
גדות,393,225,72,1,0,1,0,5,2,1,0,0,0,0,0,84,9,10,33,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1
גדיש,265,174,2,0,7,3,0,0,0,1,1,1,0,0,0,18,12,76,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,45
גדעונה,162,100,5,0,0,0,0,0,0,2,0,3,0,0,0,27,5,41,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,12
גדרה,11601,7828,855,5,355,65,0,84,12,39,23,198,2,0,4,2427,585,2151,174,2,3,0,1,5,5,0,4,1,3,14,6,22,2,1,32,656
גונן,331,204,56,1,4,0,0,8,3,0,0,0,0,0,0,73,5,15,32,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1
גורן,339,241,65,0,1,0,0,0,0,0,0,1,0,0,3,18,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
גורנות הגליל,165,97,17,0,0,0,0,0,0,0,0,0,0,0,1,30,14,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
גזית,562,408,84,0,0,0,0,6,4,0,1,0,0,0,0,134,14,8,154,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
גזר,329,159,25,0,0,0,0,21,6,0,0,0,0,0,0,59,5,14,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
גיאה,493,339,66,0,4,1,0,9,0,2,1,3,0,0,0,153,14,70,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
גיבתון,221,173,48,0,3,0,0,4,0,1,2,4,1,0,1,58,10,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
גיזו,120,86,18,0,0,0,0,1,0,0,0,3,0,0,0,17,1,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
גילון,622,479,102,0,4,0,0,10,0,1,0,5,0,0,0,217,42,61,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
גילת,716,493,67,0,15,2,0,1,0,2,1,16,0,0,0,100,47,174,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,59
גינוסר,460,288,86,0,3,1,0,1,0,5,0,3,0,0,0,135,10,21,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
גיניגר,441,299,127,0,2,0,0,19,2,1,1,2,0,0,0,86,16,14,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
גינתון,507,405,81,0,4,0,0,4,1,0,1,3,0,0,1,186,32,67,13,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,6
גיתה,163,110,9,0,0,0,0,3,0,0,1,0,0,0,0,30,42,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
גיתית,155,113,4,0,8,0,0,2,0,0,1,33,0,0,0,17,12,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
גלאון,361,247,36,0,0,0,0,5,1,0,0,1,0,0,0,57,4,1,133,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2
גלגל,110,64,10,0,0,0,0,0,1,0,0,0,0,0,0,31,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
גליל ים,284,213,94,0,0,0,0,2,1,0,0,0,0,0,0,62,9,15,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3
גלעד (אבן יצחק),342,240,79,0,2,0,0,3,0,0,0,0,0,0,0,98,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1
גמזו,553,469,5,0,140,15,0,13,0,0,0,108,0,0,0,11,4,132,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33
גן הדרום,287,225,36,0,1,0,0,2,0,2,0,1,0,0,0,81,8,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
גן השומרון,515,375,93,0,5,0,0,8,0,0,0,7,0,0,1,171,17,38,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1
גן חיים,494,393,124,0,2,1,0,5,5,0,2,2,0,0,3,162,22,26,31,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0
גן יאשיה,506,408,89,1,8,1,0,11,2,1,2,2,0,0,1,190,16,38,34,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,3
גן יבנה,11117,7902,771,0,267,160,1,33,2,26,13,149,1,0,8,2420,813,2319,179,5,0,0,2,4,7,0,3,3,0,14,2,31,4,2,43,550
גן נר,1577,1087,136,0,14,3,0,15,1,2,2,20,0,0,0,405,131,282,39,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,22
גן שורק,227,161,40,0,1,0,0,0,0,0,0,2,0,0,0,57,12,38,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
גן שלמה,368,278,100,0,1,0,0,6,3,1,0,1,1,0,0,105,2,12,38,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
גן שמואל,820,608,112,0,0,0,0,7,7,0,0,0,0,0,0,143,4,8,318,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0
גנות,333,244,30,0,2,3,0,2,0,0,0,0,0,0,1,108,7,70,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
גנות הדר,505,404,78,0,5,0,0,1,1,2,3,3,0,0,0,180,14,99,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
גני הדר,191,144,31,0,0,0,0,5,1,0,0,2,0,0,0,75,5,13,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
גני יוחנן,464,319,53,0,6,1,0,4,0,2,3,1,0,0,0,136,33,61,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9
גני עם,187,151,35,0,2,0,0,4,0,0,1,0,0,0,0,73,6,16,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
גני תקווה,9699,6982,1046,1,254,190,2,32,15,39,14,175,0,1,2,2184,305,1663,213,3,3,0,1,0,5,0,3,0,1,5,2,26,1,0,39,700
געש,521,389,112,0,0,0,0,0,2,0,0,1,0,0,1,102,5,7,150,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
געתון,424,269,60,0,0,0,0,3,6,2,0,1,0,0,3,70,7,11,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
גפן,233,167,2,0,6,3,0,2,0,1,0,0,0,0,0,6,10,93,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,38
גרופית,297,159,44,0,2,0,0,5,0,0,0,1,0,0,0,64,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
גשור,164,116,17,0,0,0,0,4,0,0,0,2,0,0,0,44,10,15,15,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2
גשר,454,302,144,0,1,0,0,2,1,4,3,1,0,0,0,84,12,17,27,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0
גשר הזיו,902,632,164,0,1,0,0,21,3,2,2,1,0,0,1,240,40,90,51,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,4,7
גת (קיבוץ),387,256,52,0,2,0,0,7,1,0,0,0,0,0,0,83,9,11,83,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0
גת רימון,178,133,28,0,2,4,0,4,0,0,0,2,0,0,0,57,9,17,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
דבורה,234,141,31,0,3,0,0,0,0,1,0,3,0,0,0,57,9,26,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
דבוריה,5136,3254,60,0,2,2,985,0,735,1,1,2,4,2,0,31,4,4,11,1,0,0,1,1366,2,0,0,0,1,0,1,2,0,1,1,1
דבירה,327,242,45,0,2,0,0,1,2,0,0,5,0,0,0,89,2,9,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
דברת,248,161,53,0,0,3,0,2,0,0,0,1,0,0,2,65,7,11,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2
דגניה א',488,334,153,0,2,0,0,2,0,1,1,2,0,0,0,122,4,14,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
דגניה ב',441,308,141,0,1,0,0,3,2,1,0,0,0,0,0,107,17,6,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3
"דוב""ב",324,198,30,0,5,4,0,0,0,0,0,4,0,0,0,16,27,76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,32
דולב,603,503,0,0,148,0,0,3,0,0,0,254,0,0,1,2,1,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
דור,270,201,48,0,0,0,0,3,0,1,0,0,0,0,0,84,17,27,11,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0
דורות,470,317,83,0,0,0,0,4,5,3,0,0,0,0,1,155,6,14,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1
דחי,355,143,0,0,0,0,74,0,2,0,0,0,0,0,0,1,1,2,4,0,0,0,0,51,0,0,0,0,0,0,1,0,1,0,0,0
דייר חנא,5418,4001,43,0,10,6,617,0,1908,0,22,1,0,0,1,107,2,13,6,0,1,0,1,1215,2,0,1,0,1,4,8,0,0,0,1,21
דימונה,26057,12398,666,2,269,239,17,25,6,34,16,302,18,8,11,1934,2902,3407,49,11,7,6,3,18,7,0,6,5,1,21,11,31,8,5,30,2017
דישון,292,207,49,1,4,0,0,0,0,1,0,4,0,0,0,29,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
דליה,668,482,98,0,1,0,0,7,4,0,0,1,0,0,0,143,6,6,203,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,2
דלתון,547,349,18,0,27,1,0,1,0,0,0,19,0,0,0,9,19,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,112
דמיידה,218,115,2,0,0,0,20,0,15,0,0,0,1,0,0,4,1,0,0,0,0,0,0,66,0,0,0,0,0,1,1,1,0,1,0,0
דן,425,300,58,0,1,1,0,4,2,0,0,2,0,0,0,89,11,8,113,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,1
דפנה,546,400,155,0,2,0,0,4,2,3,1,0,0,0,0,155,8,31,27,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0
דקל,248,155,32,0,0,0,0,3,0,0,0,0,0,0,0,52,32,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
דריג'את,274,199,37,0,0,0,4,0,3,0,0,0,0,0,1,11,4,2,1,0,0,1,0,110,0,0,0,0,0,0,2,3,3,0,0,2
האון,155,91,30,0,5,1,0,0,0,3,0,1,0,0,0,20,4,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
הבונים,244,153,41,0,1,0,0,8,0,0,0,0,0,0,0,72,3,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
הגושרים,496,347,136,0,1,1,0,3,0,2,0,1,0,0,0,115,17,28,28,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,3,2
הדר עם,390,295,66,0,4,0,0,6,3,1,1,1,0,0,0,138,7,31,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
הוד השרון,34051,24495,4075,5,279,71,5,231,76,105,98,220,1,1,17,9868,1462,5445,1063,9,2,1,1,5,32,0,1,8,4,22,8,101,2,2,137,949
הודיה,466,276,31,0,4,2,0,0,0,2,1,15,1,0,0,47,22,112,5,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,26
הוואשלה (שבט),986,357,3,0,0,0,1,0,3,0,1,0,0,1,0,2,1,3,3,0,0,0,0,322,0,0,2,0,0,0,2,0,0,1,2,4
הוזייל (שבט),750,100,15,0,0,0,20,0,1,0,0,1,0,0,0,0,2,8,3,0,0,0,1,41,0,0,0,1,0,0,1,1,0,0,1,3
הושעיה,919,730,14,0,311,4,0,34,0,2,1,74,0,0,0,40,17,204,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,18
הזורע,867,583,92,0,1,0,0,8,5,2,0,0,1,0,0,251,9,8,195,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0
הזורעים,398,308,9,0,96,3,0,0,0,1,0,86,0,0,0,9,4,70,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,25
החותרים,465,335,146,0,1,0,0,2,0,0,0,2,0,0,0,119,14,13,29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
היוגב,490,353,103,0,4,0,0,8,0,1,0,1,0,0,1,147,32,26,19,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,2
הילה,403,315,93,0,2,0,0,23,2,0,1,4,0,0,0,110,8,25,32,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,5,2
המעפיל,451,320,61,0,1,0,0,6,3,2,0,2,0,0,0,99,10,15,114,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
הסוללים,517,411,101,0,2,0,0,8,1,0,0,8,0,0,0,185,22,44,28,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,4
העוגן,565,404,85,0,3,0,0,4,4,2,0,2,0,0,0,127,9,10,145,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,3
הר אדר,2040,1621,367,1,12,2,0,42,5,6,1,20,0,0,1,566,69,383,112,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,11
הר גילה,344,258,30,0,10,0,0,18,1,0,1,9,0,0,1,73,15,71,15,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,6
הראל,147,62,11,0,0,0,0,3,3,0,0,0,0,0,0,11,1,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
